subjectName,constructName,latex_formatted_question,question,latext_formatted_wrongAnswer,wrongAnswer,misconception,latex_formatted_wrongAnswer
Sketching from Completing the Square Form,"Given a sketch of a quadratic graph in the form (x + p)² + q, work out its completed the square form",What is the equation of this curve? ![A set of axes with a quadratic graph drawn on. The graph is y=x^2 translated 2 squares to the left and 5 squares down.](),What is the equation of this curve? ![A set of axes with a quadratic graph drawn on. The graph is y=x^2 translated 2 squares to the left and 5 squares down.](),\( y=(x-2)^{2}-5 \),y=(x-2)^2-5,"1537    Believes that in completed square form, the x ...
Name: MisconceptionName, dtype: object",
Perpendicular Lines,Identify perpendicular lines written in the form y = mx + c,"Which of the following lines is perpendicular to
\[
y=2 x+1 \text { ? }
\]",Which of the following lines is perpendicular to      y=2 x+1  ? ,\( y=2 x-1 \),y=2 x-1,"1917    Confuses the meaning of parallel and perpendic...
Name: MisconceptionName, dtype: object",
Perpendicular Lines,Identify perpendicular lines written in the form y = mx + c,"Which of the following lines is perpendicular to
\[
y=2 x+1 \text { ? }
\]",Which of the following lines is perpendicular to      y=2 x+1  ? ,\( x=2 y+1 \),x=2 y+1,"708    Believes switching the x and y variables in a ...
Name: MisconceptionName, dtype: object",
Perpendicular Lines,Identify perpendicular lines written in the form y = mx + c,"Which of the following lines is perpendicular to
\[
y=2 x+1 \text { ? }
\]",Which of the following lines is perpendicular to      y=2 x+1  ? ,\( y=\frac{1}{2} x-3 \),y=1/2 x-3,"925    Believes the gradients of perpendicular lines ...
Name: MisconceptionName, dtype: object",
Writing Formula,Recognise and name an equation,"Which of the following words is the correct description for:
\(x+3=5 ?\)",Which of the following words is the correct description for: x+3=5 ?,Formula,Formula,"835    Confuses a formula with an equation
Name: MisconceptionName, dtype: object",
Writing Formula,Recognise and name an equation,"Which of the following words is the correct description for:
\(x+3=5 ?\)",Which of the following words is the correct description for: x+3=5 ?,Identity,Identity,"553    Confuses an equation with an identity
Name: MisconceptionName, dtype: object",
Writing Formula,Recognise and name an equation,"Which of the following words is the correct description for:
\(x+3=5 ?\)",Which of the following words is the correct description for: x+3=5 ?,Expression,Expression,"1834    Confuses an equation with an expression
Name: MisconceptionName, dtype: object",
Estimation,Round numbers to an appropriate degree to estimate the answer to a calculation,"Tom and Katie are discussing using estimation when multiplying
Tom says \( 82 \times 4<320 \)
Katie says \( 41 \times 8>320 \)
Without calculating the exact answers, who is correct?","Tom and Katie are discussing using estimation when multiplying Tom says 82 × 4<320 Katie says 41 × 8>320 Without calculating the exact answers, who is correct?",,Only Tom,"1449    Believes rounding numbers down would give an o...
Name: MisconceptionName, dtype: object",Only Tom
Properties of Quadrilaterals,Sort and class quadrilaterals into hierarchical families,"Tom and Katie are discussing this shape
Tom says it is a parallelogram
Katie says it is a rhombus
Who do you agree with? ![Pink parallelogram with parallel sides labelled]()",Tom and Katie are discussing this shape Tom says it is a parallelogram Katie says it is a rhombus Who do you agree with? ![Pink parallelogram with parallel sides labelled](),Only Katie,Only Katie,"85    Does not remember that a rhombus has equal sides
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Sort and class quadrilaterals into hierarchical families,"Tom and Katie are discussing this shape
Tom says it is a parallelogram
Katie says it is a rhombus
Who do you agree with? ![Pink parallelogram with parallel sides labelled]()",Tom and Katie are discussing this shape Tom says it is a parallelogram Katie says it is a rhombus Who do you agree with? ![Pink parallelogram with parallel sides labelled](),Both Tom and Katie,Both Tom and Katie,"85    Does not remember that a rhombus has equal sides
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Sort and class quadrilaterals into hierarchical families,"Tom and Katie are discussing this shape
Tom says it is a parallelogram
Katie says it is a rhombus
Who do you agree with? ![Pink parallelogram with parallel sides labelled]()",Tom and Katie are discussing this shape Tom says it is a parallelogram Katie says it is a rhombus Who do you agree with? ![Pink parallelogram with parallel sides labelled](),Neither is correct,Neither is correct,"1348    Does not recognise a parallelogram
Name: MisconceptionName, dtype: object",
Factors and Highest Common Factor,Identify factors of a number,"Tom and Katie are discussing the conjecture:

All numbers have an even number of factors because factors come in pairs

Tom says a counter-example is \( 24 \)

Katie says a counter-example is \( 16 \)

Who do you agree with?",Tom and Katie are discussing the conjecture:  All numbers have an even number of factors because factors come in pairs  Tom says a counter-example is 24  Katie says a counter-example is 16  Who do you agree with?,,Only Tom,"762    Chooses an example when asked for a counter-ex...
Name: MisconceptionName, dtype: object",Only Tom
Place Value,Find 100 less than a given number,"What number is \( 100 \) less than \( 325,076 \) ?","What number is 100 less than 325,076 ?",\( 3250.76 \),3250.76,"228    Divides rather than subtracts when given the c...
Name: MisconceptionName, dtype: object",
Place Value,Find 100 less than a given number,"What number is \( 100 \) less than \( 325,076 \) ?","What number is 100 less than 325,076 ?","\( 325,176 \)","325,176","1773    Adds rather than subtracts when answering word...
Name: MisconceptionName, dtype: object",
Place Value,Find 100 less than a given number,"What number is \( 100 \) less than \( 325,076 \) ?","What number is 100 less than 325,076 ?","\( 324,076 \)","324,076","2264    When subtracting a power of 10, subtracts from...
Name: MisconceptionName, dtype: object",
Sharing in a Ratio,Solve coordinate geometry questions involving ratio,"What is the ratio of
\[
A B: B C \text { ? }
\] ![A line AC which is 10 units long. B is on it so that AB:BC is 1:2]()",What is the ratio of      A B: B C  ?  ![A line AC which is 10 units long. B is on it so that AB:BC is 1:2](),\( 1: 3 \),1: 3,"221    Thinks ratios are written as 1:total
Name: MisconceptionName, dtype: object",
Simplifying Surds,Recognise when a square root is a surd and when it is not,Which of the following is not a surd?,Which of the following is not a surd?,,√(45),"1459    Does not recognise that a surd will simplify t...
Name: MisconceptionName, dtype: object",\( \sqrt{45} \)
Simplifying Surds,Recognise when a square root is a surd and when it is not,Which of the following is not a surd?,Which of the following is not a surd?,\( \sqrt{47} \),√(47),"1459    Does not recognise that a surd will simplify t...
Name: MisconceptionName, dtype: object",
Simplifying Surds,Recognise when a square root is a surd and when it is not,Which of the following is not a surd?,Which of the following is not a surd?,\( \sqrt{51} \),√(51),"1459    Does not recognise that a surd will simplify t...
Name: MisconceptionName, dtype: object",
BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division","What does the following equal?

\(
3 \times 5+4-2
\)",What does the following equal?  3 × 5+4-2,\( 25 \),25,"328    Performs addition ahead of multiplication
Name: MisconceptionName, dtype: object",
BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division","What does the following equal?

\(
3 \times 5+4-2
\)",What does the following equal?  3 × 5+4-2,\( 21 \),21,"328    Performs addition ahead of multiplication
Name: MisconceptionName, dtype: object",
BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division","What does the following equal?

\(
3 \times 5+4-2
\)",What does the following equal?  3 × 5+4-2,\( 9 \),9,"2532    Believes order of operations does not affect t...
Name: MisconceptionName, dtype: object",
Rotational Symmetry,Identify the order of rotational symmetry of a shape,"![This shape is a line drawing of 2 ellipses whose centres, marked with a black dot, are lined up, but one ellipse is at right angles to the other.]() What is the order of rotational symmetry of this shape?","![This shape is a line drawing of 2 ellipses whose centres, marked with a black dot, are lined up, but one ellipse is at right angles to the other.]() What is the order of rotational symmetry of this shape?",,0,"2355    Does not know how to find order of rotational ...
Name: MisconceptionName, dtype: object",\( 0 \)
Rotational Symmetry,Identify the order of rotational symmetry of a shape,"![This shape is a line drawing of 2 ellipses whose centres, marked with a black dot, are lined up, but one ellipse is at right angles to the other.]() What is the order of rotational symmetry of this shape?","![This shape is a line drawing of 2 ellipses whose centres, marked with a black dot, are lined up, but one ellipse is at right angles to the other.]() What is the order of rotational symmetry of this shape?",\( 1 \),1,"2355    Does not know how to find order of rotational ...
Name: MisconceptionName, dtype: object",
Rotational Symmetry,Identify the order of rotational symmetry of a shape,"![This shape is a line drawing of 2 ellipses whose centres, marked with a black dot, are lined up, but one ellipse is at right angles to the other.]() What is the order of rotational symmetry of this shape?","![This shape is a line drawing of 2 ellipses whose centres, marked with a black dot, are lined up, but one ellipse is at right angles to the other.]() What is the order of rotational symmetry of this shape?",\( 2 \),2,"2355    Does not know how to find order of rotational ...
Name: MisconceptionName, dtype: object",
Linear Sequences (nth term),Write a missing term of a descending integer linear sequence,"\begin{tabular}{lclclclc|c|} \hline \(\bigstar\) & \( \;\) & 712 & \( \;\) &  \( \;\)\end{tabular} A descending linear sequence has a constant difference of \( 22 \) and the \( 3^{\text {rd }} \) term is \( 712 \).
What should replace the star?",           712            A descending linear sequence has a constant difference of 22 and the 3^rd term is 712. What should replace the star?,,734,"672    When asked for a specific term in a sequence g...
Name: MisconceptionName, dtype: object",\( 734 \)
Linear Sequences (nth term),Write a missing term of a descending integer linear sequence,"\begin{tabular}{lclclclc|c|} \hline \(\bigstar\) & \( \;\) & 712 & \( \;\) &  \( \;\)\end{tabular} A descending linear sequence has a constant difference of \( 22 \) and the \( 3^{\text {rd }} \) term is \( 712 \).
What should replace the star?",           712            A descending linear sequence has a constant difference of 22 and the 3^rd term is 712. What should replace the star?,\( 690 \),690,"672    When asked for a specific term in a sequence g...
Name: MisconceptionName, dtype: object",
Linear Sequences (nth term),Write a missing term of a descending integer linear sequence,"\begin{tabular}{lclclclc|c|} \hline \(\bigstar\) & \( \;\) & 712 & \( \;\) &  \( \;\)\end{tabular} A descending linear sequence has a constant difference of \( 22 \) and the \( 3^{\text {rd }} \) term is \( 712 \).
What should replace the star?",           712            A descending linear sequence has a constant difference of 22 and the 3^rd term is 712. What should replace the star?,\( 668 \),668,"81    Thinks you subtract rather than add when findi...
Name: MisconceptionName, dtype: object",
Written Subtraction,Subtract integers up to 4 digits using a written method where carrying is needed,\( 4514-328= \),4514-328=,,4196,"699    When “borrowing” during a subtraction problem,...
Name: MisconceptionName, dtype: object",\( 4196 \)
Written Subtraction,Subtract integers up to 4 digits using a written method where carrying is needed,\( 4514-328= \),4514-328=,\( 1234 \),1234,"2203    Lines up the digits incorrectly when doing a s...
Name: MisconceptionName, dtype: object",
Written Subtraction,Subtract integers up to 4 digits using a written method where carrying is needed,\( 4514-328= \),4514-328=,\( 4214 \),4214,"1138    Subtracts the smallest digit from the largest ...
Name: MisconceptionName, dtype: object",
Time Series and Line Graphs,Interpret continuous data using a line graph,"This graph shows how much a block of ice melted over time. ![A line graph with the x-axis titled ""Time (minutes)"". The x-axis scale is labelled from 0 to 5 in steps of 1 minute.
The y-axis is titled ""Water depth (cm)"" and the scale is labelled from 0 to 12 in steps of 2. The following points are plotted and joined together: (0, 0),(1,1),(2, 3),(3, 6),(4, 9),(5, 10).      
]() What was the difference between the first minute and third minute?","This graph shows how much a block of ice melted over time. ![A line graph with the x-axis titled ""Time (minutes)"". The x-axis scale is labelled from 0 to 5 in steps of 1 minute. The y-axis is titled ""Water depth (cm)"" and the scale is labelled from 0 to 12 in steps of 2. The following points are plotted and joined together: (0, 0),(1,1),(2, 3),(3, 6),(4, 9),(5, 10).       ]() What was the difference between the first minute and third minute?",,5,"1183    Does not include units in answer.
Name: MisconceptionName, dtype: object",\( 5 \)
Time Series and Line Graphs,Interpret continuous data using a line graph,"This graph shows how much a block of ice melted over time. ![A line graph with the x-axis titled ""Time (minutes)"". The x-axis scale is labelled from 0 to 5 in steps of 1 minute.
The y-axis is titled ""Water depth (cm)"" and the scale is labelled from 0 to 12 in steps of 2. The following points are plotted and joined together: (0, 0),(1,1),(2, 3),(3, 6),(4, 9),(5, 10).      
]() What was the difference between the first minute and third minute?","This graph shows how much a block of ice melted over time. ![A line graph with the x-axis titled ""Time (minutes)"". The x-axis scale is labelled from 0 to 5 in steps of 1 minute. The y-axis is titled ""Water depth (cm)"" and the scale is labelled from 0 to 12 in steps of 2. The following points are plotted and joined together: (0, 0),(1,1),(2, 3),(3, 6),(4, 9),(5, 10).       ]() What was the difference between the first minute and third minute?",\( 6 \mathrm{~cm} \),6  cm,"23    Does not understand the command word 'difference'
Name: MisconceptionName, dtype: object",
Time Series and Line Graphs,Interpret continuous data using a line graph,"This graph shows how much a block of ice melted over time. ![A line graph with the x-axis titled ""Time (minutes)"". The x-axis scale is labelled from 0 to 5 in steps of 1 minute.
The y-axis is titled ""Water depth (cm)"" and the scale is labelled from 0 to 12 in steps of 2. The following points are plotted and joined together: (0, 0),(1,1),(2, 3),(3, 6),(4, 9),(5, 10).      
]() What was the difference between the first minute and third minute?","This graph shows how much a block of ice melted over time. ![A line graph with the x-axis titled ""Time (minutes)"". The x-axis scale is labelled from 0 to 5 in steps of 1 minute. The y-axis is titled ""Water depth (cm)"" and the scale is labelled from 0 to 12 in steps of 2. The following points are plotted and joined together: (0, 0),(1,1),(2, 3),(3, 6),(4, 9),(5, 10).       ]() What was the difference between the first minute and third minute?",\( 2 \mathrm{~cm} \),2  cm,"11    When reading value from graph, reads from the ...
Name: MisconceptionName, dtype: object",
Weight Units,Convert between g and mg,\( 30 \) grams = \(\bigstar \) milligrams What should replace the star?,30 grams =  milligrams What should replace the star?,,3000,"852    Thinks there are 100 mg in a gram
Name: MisconceptionName, dtype: object",\( 3000 \)
Weight Units,Convert between g and mg,\( 30 \) grams = \(\bigstar \) milligrams What should replace the star?,30 grams =  milligrams What should replace the star?,\( 300 \),300,"213    Thinks there are 10 mg in a gram
Name: MisconceptionName, dtype: object",
Weight Units,Convert between g and mg,\( 30 \) grams = \(\bigstar \) milligrams What should replace the star?,30 grams =  milligrams What should replace the star?,\( 0.03 \),0.03,"1954    Divides when converting to a smaller unit
Name: MisconceptionName, dtype: object",
Adding and Subtracting Fractions,Subtract proper fractions with different denominators which do not share a common factor,"Tom and Katie are discussing how to work out the answer to \( \frac{5}{6}-\frac{1}{3} \)
Tom says you could change both denominators to \( 6 \)
Katie says you could change both denominators to \( 18 \)
Who is correct?",Tom and Katie are discussing how to work out the answer to 5/6-1/3 Tom says you could change both denominators to 6 Katie says you could change both denominators to 18 Who is correct?,,Only Tom,"2038    Believes a common denominator can only be the ...
Name: MisconceptionName, dtype: object",Only Tom
Adding and Subtracting Fractions,Subtract proper fractions with different denominators which do not share a common factor,"Tom and Katie are discussing how to work out the answer to \( \frac{5}{6}-\frac{1}{3} \)
Tom says you could change both denominators to \( 6 \)
Katie says you could change both denominators to \( 18 \)
Who is correct?",Tom and Katie are discussing how to work out the answer to 5/6-1/3 Tom says you could change both denominators to 6 Katie says you could change both denominators to 18 Who is correct?,"Only
Katie",Only Katie,"2128    Believes a common denominator must always be t...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Fractions,Subtract proper fractions with different denominators which do not share a common factor,"Tom and Katie are discussing how to work out the answer to \( \frac{5}{6}-\frac{1}{3} \)
Tom says you could change both denominators to \( 6 \)
Katie says you could change both denominators to \( 18 \)
Who is correct?",Tom and Katie are discussing how to work out the answer to 5/6-1/3 Tom says you could change both denominators to 6 Katie says you could change both denominators to 18 Who is correct?,Neither is correct,Neither is correct,"120    Does not understand equivalent fractions
Name: MisconceptionName, dtype: object",
"Squares, Cubes, etc",Change an integer base number to another integer base number with a positive integer power,"Jo and Paul are arguing about powers.
Jo says \( 9^{4}=3^{8} \)
Paul says \( 9^{4}=3^{2} \times 3^{2} \)
Who is correct?",Jo and Paul are arguing about powers. Jo says 9^4=3^8 Paul says 9^4=3^2× 3^2 Who is correct?,Both Jo and Paul,Both Jo and Paul,"1022    Believes you multiply matching bases when carr...
Name: MisconceptionName, dtype: object",
"Squares, Cubes, etc",Change an integer base number to another integer base number with a positive integer power,"Jo and Paul are arguing about powers.
Jo says \( 9^{4}=3^{8} \)
Paul says \( 9^{4}=3^{2} \times 3^{2} \)
Who is correct?",Jo and Paul are arguing about powers. Jo says 9^4=3^8 Paul says 9^4=3^2× 3^2 Who is correct?,Neither is correct,Neither is correct,"2480    Thinks powers with different bases cannot be e...
Name: MisconceptionName, dtype: object",
Real Life Graphs,Interpret horizontal sections of a displacement-time graph,"This graph shows how far Jodie is from home whilst she is out on a walk.
What might the horizontal represent? ![The image is a distance-time graph. The graph is in three sections. The first section starts at (0,0) and is a sloped line with positive gradient. The second section is a horizontal line. The third section is a sloped line with negative gradient that ends when it touches the Time axis.]()","This graph shows how far Jodie is from home whilst she is out on a walk. What might the horizontal represent? ![The image is a distance-time graph. The graph is in three sections. The first section starts at (0,0) and is a sloped line with positive gradient. The second section is a horizontal line. The third section is a sloped line with negative gradient that ends when it touches the Time axis.]()",,Jodie is accelerating,"2492    Confuses rest and movement on a distance time ...
Name: MisconceptionName, dtype: object",Jodie is accelerating
Real Life Graphs,Interpret horizontal sections of a displacement-time graph,"This graph shows how far Jodie is from home whilst she is out on a walk.
What might the horizontal represent? ![The image is a distance-time graph. The graph is in three sections. The first section starts at (0,0) and is a sloped line with positive gradient. The second section is a horizontal line. The third section is a sloped line with negative gradient that ends when it touches the Time axis.]()","This graph shows how far Jodie is from home whilst she is out on a walk. What might the horizontal represent? ![The image is a distance-time graph. The graph is in three sections. The first section starts at (0,0) and is a sloped line with positive gradient. The second section is a horizontal line. The third section is a sloped line with negative gradient that ends when it touches the Time axis.]()",Jodie is walking away from home,Jodie is walking away from home,"2492    Confuses rest and movement on a distance time ...
Name: MisconceptionName, dtype: object",
Real Life Graphs,Interpret horizontal sections of a displacement-time graph,"This graph shows how far Jodie is from home whilst she is out on a walk.
What might the horizontal represent? ![The image is a distance-time graph. The graph is in three sections. The first section starts at (0,0) and is a sloped line with positive gradient. The second section is a horizontal line. The third section is a sloped line with negative gradient that ends when it touches the Time axis.]()","This graph shows how far Jodie is from home whilst she is out on a walk. What might the horizontal represent? ![The image is a distance-time graph. The graph is in three sections. The first section starts at (0,0) and is a sloped line with positive gradient. The second section is a horizontal line. The third section is a sloped line with negative gradient that ends when it touches the Time axis.]()",Jodie is walking towards home,Jodie is walking towards home,"2492    Confuses rest and movement on a distance time ...
Name: MisconceptionName, dtype: object",
Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,Expand \( 4(3 c+2) \),Expand 4(3 c+2),\( 12 c+6 \),12 c+6,"107    When expanding brackets, multiplies out the fi...
Name: MisconceptionName, dtype: object",
Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,Expand \( 4(3 c+2) \),Expand 4(3 c+2),\( 12 c+2 \),12 c+2,"220    Only multiplies the first term in the expansio...
Name: MisconceptionName, dtype: object",
Time,Convert from hours to minutes,A school trip lasted \( 5 \) hours and \( 25 \) minutes. How long is this in minutes?,A school trip lasted 5 hours and 25 minutes. How long is this in minutes?,,525 minutes,"161    Answers as if there are 100 minutes in an hour...
Name: MisconceptionName, dtype: object",\( 525 \) minutes
Time,Convert from hours to minutes,A school trip lasted \( 5 \) hours and \( 25 \) minutes. How long is this in minutes?,A school trip lasted 5 hours and 25 minutes. How long is this in minutes?,\( 5.25 \) minutes,5.25 minutes,"427    Answers as if there are 100 minutes in an hour...
Name: MisconceptionName, dtype: object",
Pie Chart,Interpret a pie chart,"The pie chart shows colours of motorbikes in a shop.

There are \( \mathbf{3 0} \) more blue bikes than white. How many bikes are there altogether? ![Pie chart with 8 equal sections. One section is black, one white, three green and three blue.]()","The pie chart shows colours of motorbikes in a shop.  There are 3 0 more blue bikes than white. How many bikes are there altogether? ![Pie chart with 8 equal sections. One section is black, one white, three green and three blue.]()",\( 15 \),15,"1517    Finds unit amount but doesn't multiply up
Name: MisconceptionName, dtype: object",
Pie Chart,Interpret a pie chart,"The pie chart shows colours of motorbikes in a shop.

There are \( \mathbf{3 0} \) more blue bikes than white. How many bikes are there altogether? ![Pie chart with 8 equal sections. One section is black, one white, three green and three blue.]()","The pie chart shows colours of motorbikes in a shop.  There are 3 0 more blue bikes than white. How many bikes are there altogether? ![Pie chart with 8 equal sections. One section is black, one white, three green and three blue.]()",\( 240 \),240,"1193    Multiplies up without finding unit amount
Name: MisconceptionName, dtype: object",
Written Multiplication,Multiply 2 digit integers by 2 digit integers using long multiplication,Which working out is correct for $72 \times 36$?,Which working out is correct for 72 × 36?,,![ Long multiplication for 72 multiplied by 36 with incorrect working and incorrect final answer. First row of working is incorrect: 4 2 2. Second row of working is incorrect: 2 7. Final answer is incorrect: 4 4 9.](),"1403    When two digits multiply to 10 or more during ...
Name: MisconceptionName, dtype: object",![ Long multiplication for 72 multiplied by 36 with incorrect working and incorrect final answer. First row of working is incorrect: 4 2 2. Second row of working is incorrect: 2 7. Final answer is incorrect: 4 4 9.]()
Written Multiplication,Multiply 2 digit integers by 2 digit integers using long multiplication,Which working out is correct for $72 \times 36$?,Which working out is correct for 72 × 36?,![ Long multiplication for 72 multiplied by 36 with incorrect working and incorrect final answer. First row of working is correct: 4 3 2. Second row of working is incorrect: 2 1 6. Final answer is incorrect: 6 4 8.](),![ Long multiplication for 72 multiplied by 36 with incorrect working and incorrect final answer. First row of working is correct: 4 3 2. Second row of working is incorrect: 2 1 6. Final answer is incorrect: 6 4 8.](),"2476    Does not write the place holder zero when doin...
Name: MisconceptionName, dtype: object",
Block Graphs and Bar Charts,Interpret a bar chart,"The bar chart shows the number of cups of tea and coffee sold in a café over \( 4 \) days.

How many cups of coffee were sold on Wednesday? ![A dual bar chart showing number of cups of tea and coffee sold Monday to Thursday. On Monday 25 teas and 38 coffees sold, Tuesday 10 teas and 45 coffees, Wednesday 25 teas and 30 coffees, Thursday 43 teas and 40 coffees.]()","The bar chart shows the number of cups of tea and coffee sold in a café over 4 days.  How many cups of coffee were sold on Wednesday? ![A dual bar chart showing number of cups of tea and coffee sold Monday to Thursday. On Monday 25 teas and 38 coffees sold, Tuesday 10 teas and 45 coffees, Wednesday 25 teas and 30 coffees, Thursday 43 teas and 40 coffees.]()",,30,"2095    When reading graph, chooses nearest marked val...
Name: MisconceptionName, dtype: object",\( 30 \)
Mental Addition and Subtraction,Recognise and use efficient strategies for mental subtraction,"Tom and Katie are discussing mental addition and subtraction strategies.

Tom says a good way to add \( 9 \) is to add \( 10 \) and then subtract \( 1 \).

Katie says a good way to subtract \( 9 \) is to subtract \( 10 \) and then subtract \( 1 \).

Who is correct?",Tom and Katie are discussing mental addition and subtraction strategies.  Tom says a good way to add 9 is to add 10 and then subtract 1.  Katie says a good way to subtract 9 is to subtract 10 and then subtract 1.  Who is correct?,Both Tom and Katie,Both Tom and Katie,"1387    Does not understand the effect of consecutive ...
Name: MisconceptionName, dtype: object",
Mental Addition and Subtraction,Recognise and use efficient strategies for mental subtraction,"Tom and Katie are discussing mental addition and subtraction strategies.

Tom says a good way to add \( 9 \) is to add \( 10 \) and then subtract \( 1 \).

Katie says a good way to subtract \( 9 \) is to subtract \( 10 \) and then subtract \( 1 \).

Who is correct?",Tom and Katie are discussing mental addition and subtraction strategies.  Tom says a good way to add 9 is to add 10 and then subtract 1.  Katie says a good way to subtract 9 is to subtract 10 and then subtract 1.  Who is correct?,Neither is correct,Neither is correct,"1338    Does not understand the effect of consecutive ...
Name: MisconceptionName, dtype: object",
Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,"Vera wants to solve this equation using the quadratic formula.
\(
3 h^{2}-10 h+4=0
\)

What should replace the square? \( \frac{?\pm \sqrt{?-\square}}{?} \)",Vera wants to solve this equation using the quadratic formula. 3 h^2-10 h+4=0  What should replace the square? ?±√(?-□)/?,\( 12 \),12,"1044    Misremembers the quadratic formula
Name: MisconceptionName, dtype: object",
Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,"Vera wants to solve this equation using the quadratic formula.
\(
3 h^{2}-10 h+4=0
\)

What should replace the square? \( \frac{?\pm \sqrt{?-\square}}{?} \)",Vera wants to solve this equation using the quadratic formula. 3 h^2-10 h+4=0  What should replace the square? ?±√(?-□)/?,\( 11 \),11,"1900    Thinks two variables next to each other repres...
Name: MisconceptionName, dtype: object",
Trial and Improvement and Iterative Methods,Carry out the first stage in an iteration solution,"\(
x_{n+1}=\sqrt{\frac{1}{x_{n}+11}}
\)

Using a starting value of \( x_{1}=0.6 \), what is the value of \( x_{2} \) ?","x_n+1=√(1/x_n+11)  Using a starting value of x_1=0.6, what is the value of x_2 ?",,0.2975 …,"1631    When asked for a specific term in a sequence g...
Name: MisconceptionName, dtype: object",\( 0.2975 \ldots \)
Plotting Lines from Tables of Values,"Given a positive y value, find an x value in a table of values for lines in the form y = mx + c","This is a part of the table of values for the equation
\[
y=10-6 x
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 0 \) \\
\hline
\end{tabular} What should replace the star?",This is a part of the table of values for the equation      y=10-6 x   x        y     0    What should replace the star?,\( \frac{6}{10} \),6/10,"195    When solving an equation, thinks the divisor a...
Name: MisconceptionName, dtype: object",
Plotting Lines from Tables of Values,"Given a positive y value, find an x value in a table of values for lines in the form y = mx + c","This is a part of the table of values for the equation
\[
y=10-6 x
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 0 \) \\
\hline
\end{tabular} What should replace the star?",This is a part of the table of values for the equation      y=10-6 x   x        y     0    What should replace the star?,\( 10 \),10,"391    Mixes up the value of two terms when substituting
Name: MisconceptionName, dtype: object",
Adding and Subtracting Negative Numbers,Perform calculations with temperature when given in the same units,Which statement about the temperatures \( -7^{\circ} \mathrm{C} \) and \( 5^{\circ} \mathrm{C} \) is true?,Which statement about the temperatures -7^∘C and 5^∘C is true?,,5^∘C is 2^∘C  colder than  -7^∘C,"1231    Does not know that 7 and -7 are different
Name: MisconceptionName, dtype: object","\( 5^{\circ} \mathrm{C} \) is \( 2^{\circ} \mathrm{C} \) 
colder than 
\( -7^{\circ} \mathrm{C} \)"
Adding and Subtracting Negative Numbers,Perform calculations with temperature when given in the same units,Which statement about the temperatures \( -7^{\circ} \mathrm{C} \) and \( 5^{\circ} \mathrm{C} \) is true?,Which statement about the temperatures -7^∘C and 5^∘C is true?,"\( 5^{\circ} \mathrm{C} \) is \( 12^{\circ} \mathrm{C} \) 
colder than 
\( -7^{\circ} \mathrm{C} \)",5^∘C is 12^∘C  colder than  -7^∘C,"1471    Mixes up colder and hotter when comparing temp...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Negative Numbers,Perform calculations with temperature when given in the same units,Which statement about the temperatures \( -7^{\circ} \mathrm{C} \) and \( 5^{\circ} \mathrm{C} \) is true?,Which statement about the temperatures -7^∘C and 5^∘C is true?,"\( 5^{\circ} \mathrm{C} \) is \( 2^{\circ} \mathrm{C} \)
hotter than
\( -7^{\circ} \mathrm{C} \)",5^∘C is 2^∘C hotter than -7^∘C,"2119    Ignores the negative sign
Name: MisconceptionName, dtype: object",
Simultaneous Equations,Solve linear simultaneous equations requiring no scaling of expressions,Solve the following pair of simultaneous equations: \( \begin{array}{l}3 x+2 y=14 \\ 2 x+2 y=10\end{array} \),Solve the following pair of simultaneous equations: [ 3 x+2 y=14; 2 x+2 y=10 ],\( \begin{array}{l}x=4 \\ y=2\end{array} \),[ x=4; y=2 ],"1324    When solving an equation, believes that when t...
Name: MisconceptionName, dtype: object",
Mental Addition and Subtraction,Identify command words that mean addition,For which of these questions would you calculate \( 50+25 \) ?,For which of these questions would you calculate 50+25 ?,,Decrease 50 by 25.,"1773    Adds rather than subtracts when answering word...
Name: MisconceptionName, dtype: object",Decrease \( 50 \) by \( 25 \).
Mental Addition and Subtraction,Identify command words that mean addition,For which of these questions would you calculate \( 50+25 \) ?,For which of these questions would you calculate 50+25 ?,Find the product of \( 50 \) and \( 25 \).,Find the product of 50 and 25.,"757    Adds rather than multiplies when asked for a p...
Name: MisconceptionName, dtype: object",
Mental Addition and Subtraction,Identify command words that mean addition,For which of these questions would you calculate \( 50+25 \) ?,For which of these questions would you calculate 50+25 ?,How many \( 25 \) s are there in \( 50 ? \),How many 25 s are there in 50 ?,"1599    Adds rather than divides when answering worded...
Name: MisconceptionName, dtype: object",
